# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Fluminense x Vitoria BA-BA;20240712;2;2;0;9.5;0;0;0
Fluminense x Volta Redonda-RJ;20240713;2;2;2;0;0;0;0
Flavio de Carvalho;20240713;2;2;2;0;0;0;0
Fortaleza 1 X 0 Fluminense;20240708;2;2;0;24.5;0;0;0
Fortaleza 1 X 0 Fluminense;20240712;2;2;0;32.5;0;0;0
Francisco Vasques;20240713;2;2;2;0;0;0;0
Fred 2022;20240711;2;2;0;26;0;0;0
Felix 1978;20240710;2;2;0;14;0;0;0
Gabriel Pires 2024;20240711;2;2;0;14.5;0;0;0
German Cano 2024;20240710;2;2;1;13;0;0;0
Germania 4 X 3 Fluminense;20240712;2;1;0;4.5;0;0;0
Gilberto 2020;20240713;2;2;2;0;0;0;0
Gols do Julio Cesar;20240709;2;1;0;101.5;0;0;0
Gols do Ronald;20240708;2;1;0;4;0;0;0
Graficos;20240712;2;2;0;11.5;0;0;0
Graficos;20240714;2;2;0;86;0;0;0
Gremio 5 X 1 Fluminense;20240708;2;1;0;5;0;0;0
Gustavinho 1911;20240713;2;2;2;0;0;0;0
Gavea;20240713;2;2;2;0;0;0;0
Heriberto Hulse;20240708;2;2;0;16;0;0;0
Heriberto Hulse;20240709;2;2;0;56.5;0;0;0
Herminio Ometto;20240714;2;2;2;0;0;0;0
Historico na 16ª rodada;20240711;2;2;0;3;0;0;0
Hudson 2021;20240713;2;2;2;0;0;0;0
Informacoes Gerais;20240708;2;2;0;23.5;0;0;0
Isaac 2024;20240714;2;2;0;3;0;0;0
Jair Bittencourt;20240713;2;2;2;0;0;0;0
Jhon Arias 2024;20240709;2;1;0;0;0;0;0
Jhon Arias 2024;20240714;2;2;0;2;0;0;0
Jogador por tempo determinado;20240712;2;2;0;2.5;0;0;0
John Kennedy 2024;20240708;2;2;0;74.5;0;0;0
Juan Soto;20240713;2;2;2;0;0;0;0
Julinho 1993;20240713;2;2;2;0;0;0;0
Juventude 6 X 0 Fluminense;20240713;2;2;2;29;0;0;0
Julio Cesar Cosenza;20240713;2;2;2;0;0;0;0
Kaua Elias 2024;20240708;2;1;0;2.5;0;0;0
Kaua Elias 2024;20240711;2;2;0;41.5;0;0;0
Kaua Elias 2024;20240714;2;2;0;4;0;0;0
Leandro Amaral 2009;20240713;2;2;2;0;0;0;0
Leo Fernandez 2023;20240712;2;1;0;0;0;0;0
Leomir 1988;20240713;2;2;2;0;0;0;0
Libertadores da America 2012;20240713;2;2;2;0;0;0;0
Libertadores da America 2023;20240711;2;2;0;53.5;0;0;0
Libertadores da America 2023;20240713;2;2;2;0;0;0;0
Lima 2024;20240714;2;2;0;4;0;0;0
Luis Pereira;20240713;2;2;2;0;0;0;0
Mackenzie 1 X 0 Fluminense;20240711;2;2;0;2;0;0;0
Mackenzie 1 X 0 Fluminense;20240712;2;1;0;14;0;0;0
Madureira 0 X 4 Fluminense;20240714;2;1;0;1;0;0;0
Magno Alves 2016 - Gols por Adversario;20240712;2;2;0;180;0;0;0
Maior Artilheiro contra Adversario;20240712;2;2;0;27.5;0;0;0
Maior Artilheiro contra Adversario;20240714;2;2;0;38.5;0;0;0
Maior Artilheiro em Campeonato;20240711;2;2;0;27;0;0;0
Maiores Artilheiros;20240712;2;2;0;31.5;0;0;0
Maiores Publicos - Classicos;20240709;2;2;2;64;0;0;0
